Reference number,Chemical_name,Common_name,"Used_for"
2a,Thioglycolic acid and its salts,THIOGLYCOLIC ACID,"(a) Hair products  (b) Depilatories  (c) Hair rinse -off products   (d) Products intended for eyelash waving"
2b,Thioglycolic acid esters,,"Hair waving or straightening products "
3,"Oxalic acid, its esters and alkaline salts",OXALIC ACID,"Hair products"
4,Ammonia,AMMONIA,
5,Tosylchloramide sodium (INN),CHLORAMINE-T,
6,Chlorates of alkali metals,"POTASSIUM CHLORATE / SODIUM CHLORATE ","(a) Toothpaste (b) Other products"
8,"N -substituted derivatives of p- Phenylenediamine and their salts; N- substituted derivatives of o-Phenylenediamine (1 ), with exception of those derivatives listed elsewhere in this Annex and under reference numbers 1309, 1311, and 1312 in Annex II",,"Hair dye substance in oxidative hair dye products"
8a,p -Phenylenediamine and its salts,,"Hair dye substance in oxidative hair dye products"
8b,p - Phenylene-diamine and its salts,P-PHENYLENEDIAMINE; P-PHENYLENEDIAMINE HCL; P-PHENYLENEDIAMINE SULPHATE,"Products intended for colouring eyelashes"
8c,"Ethanol, 2,2′ -[(2-nitro-1,4-phenylene)diimino]bis-(9CI)","N,N'-BIS(2-HYDROXYETHYL)-2-NITRO-P-PHENYLENEDIAMINE","(a) Hair dye substance in oxidative hair dye products    (b) Hair dye substance in non -oxidative hair dye products "
9,"Methylphenylenediamines, their N - substituted derivatives and their salts (1), with the exception of the substance listed under reference numbers 9 a and 9 b of this Annex and the substances listed under reference numbers 364, 413, 1144, 1310, 1313 and 1507 of Annex II",,"Hair dye substance in oxidative hair dye products"
9,"Methylphenylenediamines, their N -substituted derivatives and their salts (1) with the exception of the substance under reference number 9a in this annex and substances under reference numbers 364, 1310 and 1313 in Annex II",,"Hair dye substance in oxidative hair dye products"
9a,"Toluene -2,5-diamine  Toluene-2,5-diamine sulphate ",,"(a) Products intended for colouring eyelashes  (b) Products intended for colouring eyelashes"
9b,"1 -Methyl-2,6-bis-(2-hydroxyethylamino)-benzene ","2,6-DIHYDROXYETHYLAMINOTOLUENE ","Hair dye substance in oxidative hair dye products  "
10,Diaminophenols (1),,"Oxidising colouring agents for hair dyeing"
11,Dichlorophen,DICHLOROPHEN,
12,"Hydrogen peroxide and other compounds or mixtures that release hydrogen peroxide, including carbamide peroxide and zinc peroxide,  with the exception of  the following substances in Annex II: No 1397, 1398, 1399 ",HYDROGEN PEROXIDE,"(a) Hair products  (b) Skin products  (c) Nail hardening products  (d) Oral products, including mouth rinse, tooth paste and tooth whitening or bleaching products  (e) Tooth whitening or bleaching products  (f) Products intended for eyelashes     "
14,Hydroquinone,HYDROQUINONE,"Artificial nail systems "
15a,Potassium or sodium hydroxide,POTASSIUM HYDROXIDE / SODIUM HYDROXIDE,"(a) Nail cuticle solvent (b) Hair straightener (c) pH adjuster for depilatories (d) Other uses as pH adjuster 15d - Callosity softener/remover"
15b,Lithium hydroxide,LITHIUM HYDROXIDE,"(a) Hair straightener (b) pH ajuster for depilatories (c) Other uses as pH ajuster (for rinse -off products only)  "
15c,Calcium hydroxide,CALCIUM HYDROXIDE,"(a) Hair straighteners containing two components: calcium hydroxide and a guanidine salt (b) pH ajuster for depilatories (c) Other uses (e.g. pH adjuster, processing aid) "
16,1 - Naphthalenol,1-NAPHTHOL,"Hair dye substance in oxidative hair dye products"
16,1 -Naphthol and its salts,1-NAPHTHOL,"Hair dye substance in oxidative hair dye products"
17,Sodium nitrite,SODIUM NITRITE,"Rust inhibitor"
18,Nitromethane,NITROMETHANE,"Rust inhibitor"
21,"Cinchonan -9-ol, 6'-methoxy-, (8.alpha.,9R)- its salts",QUININE,"(a) Hair rinse -off products (b) Hair leave-on products "
22,"1,3 -benzenediol",RESORCINOL,"(a) Hair dye substance in oxidative hair dye products (b) Products intended for colouring eyelashes (c) Hair lotions and shampoos"
23,(a) Alkali sulphides  (b) Alkaline earth sulphides,,"(a) Depilatories  (b) Depilatories"
24,"Water -soluble zinc salts with the exception of zinc 4- hydroxy-benzenesulphonate (entry 25) and zinc pyrithione (Annex II, entry 1670)",ZINC ACETATE / ZINC CHLORIDE / ZINC GLUCONATE / ZINC GLUTAMATE,
25,Zinc 4 -hydroxybenzene sulphonate,ZINC PHENOLSULFONATE,"Deodorants, antiperspirants and astringent lotions"
26,Ammonium monofluorophosphate,AMMONIUM MONOFLUOROPHOSPHATE,"Oral products"
27,Sodium monofluorophosphate,,"Oral products"
28,Potassium monofluorophosphate,,"Oral products"
29,Calcium monofluorophosphate,,"Oral products"
30,Calcium fluoride,,"Oral products"
31,Sodium fluoride,,"Oral products"
32,Potassium fluoride,POTASSIUM FLUORIDE,"Oral products"
33,Ammonium fluoride,AMMONIUM FLUORIDE,"Oral products"
34,Aluminium fluoride,ALUMINIUM FLUORIDE,"Oral  products"
35,Stannous Fluoride,,"Oral products"
36,Cetylamine Hydrofluoride,CETYLAMINE HYDROFLUORIDE,"Oral products"
37,3 -(N-Hexadecyl-N-2-hydroxyethylammonio) propylbis (2-hydroxyethyl) ammonium difluoride,,"Oral  products"
38,"N,N',N' -Tris(polyoxyethylene)-N-hexadecylpropylenediamine dihydrofluoride",,"Oral  products"
39,Octadecenyl - Ammonium Fluoride,OCTADECENYLAMMONIUM FLUORIDE,"Oral products"
40,Sodium Fluorosilicate,SODIUM FLUOROSILICATE,"Oral products"
41,Potassium Fluorosilicate,POTASSIUM FLUOROSILICATE,"Oral products"
42,Ammonium fluorosilicate,,"Oral products"
43,Magnesium Fluorosilicate,MAGNESIUM FLUOROSILICATE,"Oral products"
44,"1,3 -Bis(hydroxymethyl)imidazolidine-2-thione",DIMETHYLOL ETHYLENE THIOUREA,"(a) Hair products (b) Nail products"
